pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,7.6,poor,Non private,good,Very close
M,3.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Fair
M,1.0,Economic & Management Sciences,Africa,B,3.8,poor,Private,good,Very close
M,3.0,Engineering,Africa,B,1.9,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,A,0.4,poor,Non private,good,Fair
M,1.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Very close
M,2.0,Arts & Social Sciences,Africa,C,2.8,poor,Private,good,Fair
M,2.0,Science,Africa,B,8.0,poor,Private,good,Close
F,3.0,Law,Africa,B,8.0,poor,Private,good,Fair
M,1.0,Science,Africa,B,7.8,poor,Private,good,Very close
M,1.0,Science,Africa,B,7.9,poor,Private,good,Very close
F,1.0,Arts & Social Sciences,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,C,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,8.1,poor,Private,good,Very close
F,1.0,Medicine and Health Services,Africa,A,8.4,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,C,7.3,poor,Private,good,Very close
F,1.0,Arts & Social Sciences,Africa,B,5.6,poor,Private,good,Very close
F,2.0,Medicine and Health Services,Africa,B,5.2,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,6.1,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,A,10.6,poor,Private,good,Close
F,1.0,Science,Africa,A,8.0,poor,Private,good,Very close
M,3.0,Law,Africa,B,0.0,poor,Private,good,Close
M,1.0,Economic & Management Sciences,Africa,C,0.0,poor,Private,good,Very close
M,1.0,Science,Africa,B,-1.3,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,B,0.0,poor,Private,good,Very close
F,2.0,Medicine and Health Services,Africa,B,5.2,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,A,13.6,poor,Private,good,Fair
F,2.0,Economic & Management Sciences,Africa,B,23.8,poor,Private,good,Close
F,2.0,Economic & Management Sciences,Africa,B,50.0,poor,Private,good,Very close
M,2.0,Engineering,Iraq,C,21.0,vgood,Private,good,Very close
M,3.0,Engineering,Iraq,C,0.0,vgood,Private,vgood,Very close
M,2.0,Engineering,Iraq,C,0.0,good,Private,good,Close
M,3.0,Engineering,Iraq,C,7.0,good,Private,vgood,Very close
M,2.0,Engineering,Iraq,C,7.0,good,Private,vgood,Very close
M,2.0,Engineering,Iraq,C,7.0,vgood,Private,good,Very close
M,2.0,Engineering,Iraq,C,14.0,good,Private,good,Very close
M,2.0,Engineering,Iraq,B,21.0,vgood,Private,excellent,Fair
M,2.0,Engineering,Iraq,C,14.0,good,Non private,good,Very close
M,2.0,Engineering,Iraq,B,14.0,vgood,Private,good,Close
M,3.0,Engineering,Iraq,C,7.0,vgood,Private,good,Very close
M,2.0,Engineering,Iraq,C,7.0,vgood,Private,good,Very close
M,2.0,Engineering,Iraq,C,7.0,good,Non private,good,Very close
M,2.0,Engineering,Iraq,C,14.0,vgood,Non private,good,Close
M,2.0,Engineering,Iraq,C,21.0,vgood,Private,good,Fair
M,3.0,Engineering,Iraq,C,7.0,good,Non private,poor,Close
M,2.0,Engineering,Iraq,B,21.0,vgood,Private,good,Very close
M,2.0,Engineering,Iraq,C,7.0,poor,Private,good,Close
M,2.0,Engineering,Iraq,C,7.0,good,Private,vgood,Very close
M,3.0,Biology,Iraq,C,14.0,vgood,Private,good,Close
M,2.0,Biology,Iraq,C,7.0,vgood,Non private,good,Close
M,3.0,Biology,Iraq,C,0.0,good,Non private,good,Very close
M,2.0,Biology,Iraq,B,7.0,good,Private,vgood,Close
M,3.0,Biology,Iraq,C,7.0,vgood,Private,poor,Very close
M,2.0,Biology,Iraq,B,7.0,vgood,Private,good,Very close
M,2.0,Biology,Iraq,A,14.0,good,Private,vgood,Close
M,1.0,Biology,Iraq,B,21.0,vgood,Private,vgood,Very close
